age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
< 1 year,1.6548322007659175,0.08205534020052874,1.3095940600785332,0.3470970537906221,0.2650417135900934,2013-2019,1
10-14 years,0.371623007726944,0.0033820118842413788,1.043069862160606,0.08190587322445131,0.07852386134020993,2020-2022,4
15-19 years,-1.1025173383015434,-0.009948683093014022,0.4756203346260251,0.009023606928794626,0.018972290021808648,2020-2022,5
30-34 years,-0.09865243582523497,-8.527122349665517e-4,0.9878186603750476,0.06914880329784473,0.07000151553281128,2020-2022,8
45-49 years,-8.917538828194083,-0.04521907451266844,0.502301129987679,0.04563721879486709,0.09085629330753553,2020-2022,11
55-59 years,10.073639674709705,0.04823188518729596,6.229364175776223,0.05745516426407524,0.009223279076779278,2020-2022,13
60-64 years,-10.35345384622617,-0.050975203771134035,0.27867857052758666,0.01969398986202637,0.0706691936331604,2020-2022,14
65-69 years,18.597047371989227,0.07149282996436218,4.442015625970088,0.0922634590762544,0.02077062911189221,2020-2022,15
70-74 years,5.986770715698158,0.02857533500313883,1.6642203950281391,0.07159619858551687,0.04302086358237804,2020-2022,16
75-79 years,-1.5804340011393876,-0.011406315639678075,0.8985629026108123,0.10104086525623242,0.11244718089591049,2020-2022,17
80-84 years,7.102391805578826,0.08587253269830207,1.7982360709063414,0.1934503982297354,0.10757786553143332,2020-2022,18
