age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
45-49 years,-0.4199105102796712,0.8080497733085006,1.7676905023231817,2.187601012602853,-129.82961960852006,2013-2019,11
5-9 years,0.62116143095546,1.8078429621246404,1.390075019460081,0.7689135885046211,64.07895110122216,2013-2019,3
50-54 years,-0.6897441499070358,0.7051424335631407,1.6495010600500817,2.3392452099571175,-289.38192358048593,2013-2019,12
55-59 years,-0.21597302881235492,0.8567603745377921,1.291801290727016,1.507774319539371,-136.75230551081083,2013-2019,13
60-64 years,-0.34268510372105854,0.7139137129307583,0.8551531681920521,1.1978382719131107,-193.46032230170087,2013-2019,14
65-69 years,-0.42296075687756285,0.7041356576873302,1.0066158983267248,1.4295766552042877,-167.90511292674736,2013-2019,15
70-74 years,-0.21558666173915442,0.8331971308013962,1.0768770876851212,1.2924637494242757,-49.587534331012705,2013-2019,16
75-79 years,0.6174349536488937,1.4799847923372833,1.9037985291328114,1.2863635754839178,140.15533265632916,2013-2019,17
80-84 years,0.31768551285502933,1.2332378468694847,1.6797522491030275,1.3620667362479981,47.0386931790787,2013-2019,18
< 1 year,5.099736494242453,1.2377146215071047,26.55292461498259,21.453188120740137,102.84776280824101,2013-2019,1
10-14 years,-0.3014705230655137,0.9456970037410868,5.250166473687329,5.551636996752842,-33.12625335370508,2020-2022,4
15-19 years,-0.6853734032233065,0.4433748882107013,0.5459282191920749,1.2313016224153814,-75.95337525577023,2020-2022,5
30-34 years,-0.3126570295039084,0.91138031165555,3.21541935334978,3.5280763828536883,-36.17208276559181,2020-2022,8
45-49 years,-1.8200780951823048,0.45116456463968335,1.4961766105427419,3.3162547057250467,-358.93297815254056,2020-2022,11
55-59 years,1.1785827938181657,5.512569117443471,1.4397605759516998,0.2611777821335342,246.15704622849933,2020-2022,13
60-64 years,-1.2779129442879638,0.24576680830645556,0.41640780208300443,1.6943207463709682,-259.55389501890926,2020-2022,14
65-69 years,1.1808003568249714,3.8405558436399327,1.5964937710096667,0.41569341418469535,307.15527953897083,2020-2022,15
70-74 years,0.3316672889138982,1.4796522742728988,1.0231417313454911,0.691474442431593,69.48705981597833,2020-2022,16
