age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
70-74 years,40.93927342276379,1.1632511140205357,291.7141221482306,250.77484872546682,12011.04447079339,2006-2012,16
75-79 years,-4.440788981459832,0.9886874728266201,388.11420013800523,392.55498911946506,-994.1214605336212,2006-2012,17
80-84 years,-88.24220886436888,0.8684099027427659,582.3417537864965,670.5839626508654,-14047.284288495592,2006-2012,18
< 1 year,1471.30283101053,1.265949428742514,7003.568261950828,5532.265430940298,212097.46930680514,2006-2012,1
1-4 years,25.549606175849604,1.2308318309697535,136.234541041689,110.6849348658394,14560.978355143005,2013-2019,2
10-14 years,1.0995198895670484,1.0580602764421385,20.0370785259405,18.937558636373453,813.919983083969,2013-2019,4
15-19 years,23.538354557663226,1.634978562504792,60.607880912713355,37.06952635505013,17783.446245779047,2013-2019,5
20-24 years,56.82068293801548,1.8176887141830875,126.31006435228903,69.48938141427355,45566.06935318907,2013-2019,6
25-29 years,74.16948002302826,1.8614412550665969,160.26876954137657,86.09928951834831,60142.38404652231,2013-2019,7
30-34 years,66.83149545762686,1.6633869406994877,167.57435208841684,100.74285663078999,51449.5932154771,2013-2019,8
35-39 years,53.50238271702678,1.5023268583265568,160.01148496822577,106.509102251199,38824.585589510614,2013-2019,9
40-44 years,47.62469884793728,1.434098907284931,157.33402556752213,109.70932671958485,33262.76749353981,2013-2019,10
45-49 years,53.01620942708661,1.4390431775869719,173.7701856498111,120.7539762227245,38326.47281740851,2013-2019,11
5-9 years,3.5640952000597483,1.2337037730409566,18.814577268379377,15.250482068319629,2597.632014633699,2013-2019,3
50-54 years,68.01217581083199,1.5137512898669938,200.39564063568878,132.3834648248568,50823.1716067785,2013-2019,12
55-59 years,82.97053880623503,1.5814984177233582,225.6545707440612,142.68403193782618,61414.5264889456,2013-2019,13
60-64 years,92.43356091465225,1.607384571577087,244.61648626398494,152.1829253493327,60200.71003525727,2013-2019,14
65-69 years,72.43677017099469,1.420976729416269,244.50511768140532,172.06834751041063,39014.3422782518,2013-2019,15
70-74 years,42.23727431300193,1.1839887942275558,271.80165887417934,229.5643845611774,16638.56706129499,2013-2019,16
75-79 years,17.882040502081622,1.0562876409302018,335.5723932432072,317.6903527411256,4756.341489056615,2013-2019,17
80-84 years,-29.493153586352435,0.9396007271596012,458.8099699344589,488.3031235208113,-5130.938970926062,2013-2019,18
< 1 year,1161.3351925595698,1.2434222181959411,5932.202869168946,4770.867676609376,162807.20901766449,2013-2019,1
1-4 years,28.15503893063685,1.2360364619213944,147.43762222919997,119.28258329856313,6573.664955261686,2020-2022,2
10-14 years,0.5344951154268038,1.0244229486012075,22.419449473492165,21.88495435806536,172.5619831933944,2020-2022,4
15-19 years,29.578034710687,1.6789330264116833,73.14350223111931,43.565467520432314,9701.481805452047,2020-2022,5
