Five-Year Age Groups,Gender,Deaths,Year
30-34 years,Male,43,2012
30-34 years,Male,54,2013
30-34 years,Male,43,2014
30-34 years,Male,38,2015
30-34 years,Male,68,2016
30-34 years,Male,57,2017
30-34 years,Male,49,2018
30-34 years,Male,50,2019
30-34 years,Male,52,2020
35-39 years,Female,192,1999
35-39 years,Female,186,2000
35-39 years,Female,187,2001
35-39 years,Female,177,2002
35-39 years,Female,152,2003
35-39 years,Female,167,2004
35-39 years,Female,155,2005
35-39 years,Female,162,2006
35-39 years,Female,143,2007
35-39 years,Female,152,2008
35-39 years,Female,151,2009
35-39 years,Female,133,2010
35-39 years,Female,128,2011
35-39 years,Female,138,2012
35-39 years,Female,95,2013
35-39 years,Female,121,2014
35-39 years,Female,109,2015
35-39 years,Female,132,2016
35-39 years,Female,139,2017
35-39 years,Female,143,2018
35-39 years,Female,132,2019
35-39 years,Female,144,2020
35-39 years,Male,86,1999
35-39 years,Male,72,2000
35-39 years,Male,109,2001
35-39 years,Male,81,2002
35-39 years,Male,87,2003
35-39 years,Male,75,2004
35-39 years,Male,66,2005
35-39 years,Male,65,2006
35-39 years,Male,69,2007
35-39 years,Male,66,2008
35-39 years,Male,51,2009
35-39 years,Male,61,2010
35-39 years,Male,67,2011
35-39 years,Male,55,2012
35-39 years,Male,54,2013
35-39 years,Male,56,2014
35-39 years,Male,54,2015
35-39 years,Male,82,2016
35-39 years,Male,61,2017
35-39 years,Male,58,2018
35-39 years,Male,64,2019
35-39 years,Male,80,2020
40-44 years,Female,239,1999
40-44 years,Female,251,2000
40-44 years,Female,256,2001
40-44 years,Female,240,2002
40-44 years,Female,243,2003
40-44 years,Female,248,2004
40-44 years,Female,251,2005
40-44 years,Female,247,2006
40-44 years,Female,207,2007
40-44 years,Female,191,2008
40-44 years,Female,200,2009
40-44 years,Female,181,2010
40-44 years,Female,169,2011
40-44 years,Female,154,2012
40-44 years,Female,169,2013
40-44 years,Female,174,2014
40-44 years,Female,157,2015
40-44 years,Female,173,2016
40-44 years,Female,155,2017
40-44 years,Female,145,2018
40-44 years,Female,168,2019
40-44 years,Female,183,2020
40-44 years,Male,119,1999
40-44 years,Male,136,2000
40-44 years,Male,122,2001
40-44 years,Male,113,2002
40-44 years,Male,133,2003
40-44 years,Male,102,2004
40-44 years,Male,124,2005
40-44 years,Male,110,2006
40-44 years,Male,116,2007
40-44 years,Male,108,2008
40-44 years,Male,101,2009
40-44 years,Male,90,2010
40-44 years,Male,89,2011
40-44 years,Male,92,2012
40-44 years,Male,94,2013
40-44 years,Male,87,2014
40-44 years,Male,86,2015
40-44 years,Male,79,2016
40-44 years,Male,70,2017
40-44 years,Male,99,2018
40-44 years,Male,91,2019
40-44 years,Male,117,2020
45-49 years,Female,328,1999
45-49 years,Female,309,2000
45-49 years,Female,293,2001
45-49 years,Female,321,2002
45-49 years,Female,327,2003
45-49 years,Female,330,2004
45-49 years,Female,325,2005
45-49 years,Female,321,2006
45-49 years,Female,301,2007
45-49 years,Female,319,2008
45-49 years,Female,293,2009
45-49 years,Female,267,2010
45-49 years,Female,262,2011
45-49 years,Female,253,2012
45-49 years,Female,256,2013
45-49 years,Female,267,2014
45-49 years,Female,222,2015
45-49 years,Female,256,2016
45-49 years,Female,176,2017
45-49 years,Female,230,2018
45-49 years,Female,215,2019
45-49 years,Female,259,2020
45-49 years,Male,143,1999
45-49 years,Male,161,2000
45-49 years,Male,150,2001
45-49 years,Male,174,2002
45-49 years,Male,157,2003
45-49 years,Male,167,2004
45-49 years,Male,177,2005
45-49 years,Male,199,2006
45-49 years,Male,192,2007
45-49 years,Male,167,2008
45-49 years,Male,159,2009
45-49 years,Male,157,2010
45-49 years,Male,144,2011
45-49 years,Male,132,2012
45-49 years,Male,157,2013
45-49 years,Male,125,2014
45-49 years,Male,146,2015
45-49 years,Male,144,2016
45-49 years,Male,142,2017
45-49 years,Male,146,2018
45-49 years,Male,151,2019
45-49 years,Male,165,2020
50-54 years,Female,356,1999
50-54 years,Female,368,2000
50-54 years,Female,352,2001
50-54 years,Female,362,2002
50-54 years,Female,409,2003
50-54 years,Female,384,2004
50-54 years,Female,390,2005
50-54 years,Female,374,2006
50-54 years,Female,396,2007
50-54 years,Female,368,2008
50-54 years,Female,418,2009
50-54 years,Female,396,2010
50-54 years,Female,381,2011
50-54 years,Female,374,2012
50-54 years,Female,333,2013
50-54 years,Female,334,2014
50-54 years,Female,356,2015
50-54 years,Female,344,2016
50-54 years,Female,323,2017
50-54 years,Female,316,2018
50-54 years,Female,287,2019
50-54 years,Female,328,2020
50-54 years,Male,177,1999
50-54 years,Male,154,2000
50-54 years,Male,219,2001
50-54 years,Male,209,2002
50-54 years,Male,220,2003
50-54 years,Male,253,2004
50-54 years,Male,249,2005
50-54 years,Male,230,2006
50-54 years,Male,228,2007
50-54 years,Male,223,2008
50-54 years,Male,250,2009
50-54 years,Male,235,2010
50-54 years,Male,257,2011
50-54 years,Male,225,2012
50-54 years,Male,239,2013
50-54 years,Male,241,2014
50-54 years,Male,233,2015
50-54 years,Male,245,2016
50-54 years,Male,229,2017
50-54 years,Male,221,2018
50-54 years,Male,214,2019
50-54 years,Male,255,2020
55-59 years,Female,373,1999
55-59 years,Female,363,2000
55-59 years,Female,381,2001
55-59 years,Female,433,2002
55-59 years,Female,450,2003
55-59 years,Female,504,2004
55-59 years,Female,509,2005
55-59 years,Female,515,2006
55-59 years,Female,433,2007
55-59 years,Female,464,2008
55-59 years,Female,458,2009
55-59 years,Female,465,2010
55-59 years,Female,480,2011
55-59 years,Female,499,2012
55-59 years,Female,489,2013
55-59 years,Female,491,2014
55-59 years,Female,452,2015
55-59 years,Female,469,2016
55-59 years,Female,513,2017
55-59 years,Female,456,2018
55-59 years,Female,455,2019
55-59 years,Female,493,2020
55-59 years,Male,194,1999
55-59 years,Male,222,2000
55-59 years,Male,217,2001
55-59 years,Male,219,2002
55-59 years,Male,251,2003
55-59 years,Male,253,2004
55-59 years,Male,283,2005
55-59 years,Male,307,2006
55-59 years,Male,307,2007
55-59 years,Male,302,2008
55-59 years,Male,319,2009
55-59 years,Male,280,2010
55-59 years,Male,318,2011
55-59 years,Male,363,2012
55-59 years,Male,341,2013
55-59 years,Male,326,2014
55-59 years,Male,349,2015
55-59 years,Male,363,2016
55-59 years,Male,369,2017
55-59 years,Male,346,2018
55-59 years,Male,390,2019
55-59 years,Male,411,2020
60-64 years ,Female,476,1999
60-64 years ,Female,476,2000
60-64 years ,Female,484,2001
60-64 years ,Female,523,2002
60-64 years ,Female,555,2003
60-64 years ,Female,502,2004
60-64 years ,Female,517,2005
60-64 years ,Female,534,2006
60-64 years ,Female,584,2007
60-64 years ,Female,599,2008
60-64 years ,Female,554,2009
60-64 years ,Female,610,2010
60-64 years ,Female,609,2011
60-64 years ,Female,584,2012
60-64 years ,Female,618,2013
60-64 years ,Female,642,2014
60-64 years ,Female,613,2015
60-64 years ,Female,599,2016
60-64 years ,Female,604,2017
60-64 years ,Female,609,2018
60-64 years ,Female,678,2019
60-64 years ,Female,682,2020
60-64 years ,Male,241,1999
60-64 years ,Male,244,2000
60-64 years ,Male,251,2001
60-64 years ,Male,294,2002
60-64 years ,Male,293,2003
60-64 years ,Male,323,2004
60-64 years ,Male,311,2005
60-64 years ,Male,311,2006
60-64 years ,Male,323,2007
60-64 years ,Male,340,2008
60-64 years ,Male,335,2009
60-64 years ,Male,380,2010
60-64 years ,Male,392,2011
60-64 years ,Male,395,2012
60-64 years ,Male,364,2013
60-64 years ,Male,443,2014
60-64 years ,Male,497,2015
60-64 years ,Male,507,2016
60-64 years ,Male,505,2017
60-64 years ,Male,515,2018
60-64 years ,Male,520,2019
60-64 years ,Male,568,2020
65-69 years,Female,658,1999
65-69 years,Female,639,2000
65-69 years,Female,652,2001
65-69 years,Female,626,2002
65-69 years,Female,576,2003
65-69 years,Female,618,2004
65-69 years,Female,629,2005
65-69 years,Female,574,2006
65-69 years,Female,672,2007
65-69 years,Female,669,2008
65-69 years,Female,638,2009
65-69 years,Female,658,2010
65-69 years,Female,654,2011
65-69 years,Female,702,2012
65-69 years,Female,757,2013
65-69 years,Female,725,2014
65-69 years,Female,757,2015
65-69 years,Female,834,2016
65-69 years,Female,806,2017
65-69 years,Female,780,2018
65-69 years,Female,764,2019
65-69 years,Female,827,2020
65-69 years,Male,304,1999
65-69 years,Male,341,2000
