age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,5.446405235610854,1.0602860606024869,95.78910106248293,90.34269582687207,3103.961298003453,2013-2019,2
10-14 years,6.139142019101506,1.118057276155822,58.14052828688688,52.00138626778537,4544.502028339597,2013-2019,4
15-19 years,44.66943394921293,1.4715636773969452,139.39563125895998,94.72619730974705,33748.173667754774,2013-2019,5
20-24 years,103.22607226318726,1.6382015340646647,264.97133101514765,161.7452587519604,82779.82812935856,2013-2019,6
25-29 years,176.3956594261589,1.6086114814881196,466.2286067028892,289.8329472767303,143035.3224810764,2013-2019,7
30-34 years,339.5870089063518,1.7005580852770499,824.3248429890964,484.7378340827446,261427.83952171053,2013-2019,8
35-39 years,572.5902975895052,1.7418586898128636,1344.4223263198596,771.8320287303544,415506.37350235926,2013-2019,9
40-44 years,1021.145211081516,1.8540575495868805,2216.785026660054,1195.639815578538,713203.7903651173,2013-2019,10
45-49 years,1635.148131868189,1.924277823354672,3404.2570410632716,1769.1089091950826,1182081.1239753382,2013-2019,11
5-9 years,-2.6860799876852113,0.9403596222267624,42.35186390157257,45.03794388925778,-1957.7051055653696,2013-2019,3
50-54 years,2527.680255831717,1.9822410837567617,5101.060964123962,2573.3807082922444,1888848.957964688,2013-2019,12
55-59 years,3473.4559612281673,2.0108797200956388,6909.528415920942,3436.072454692775,2571040.952707454,2013-2019,13
60-64 years,4252.780664779557,1.9549140649535512,8706.35488769816,4453.5742229186035,2769777.6988202045,2013-2019,14
65-69 years,4318.1971816574805,1.7579844613094255,10015.14402169923,5696.94684004175,2325774.913382693,2013-2019,15
70-74 years,4121.697517405593,1.5289139494709345,11914.453827819549,7792.756310413955,1623663.971342376,2013-2019,16
75-79 years,3880.601152573159,1.3551074816185205,14808.56339906267,10927.962246489511,1032178.8647283305,2013-2019,17
80-84 years,3233.6189511315806,1.2024876645844762,19203.080388534552,15969.461437402972,562554.3380740263,2013-2019,18
< 1 year,66.07922237998662,1.078110897837676,912.0459723372998,845.9667499573131,9263.625040099163,2013-2019,1
1-4 years,6.616128118427042,1.0806028602710454,88.69917202256154,82.0830439041345,1544.7398122507773,2020-2022,2
10-14 years,5.145906803159704,1.08725204624635,64.123398157696,58.9774913545363,1661.358275599104,2020-2022,4
15-19 years,39.31712924709109,1.3947539189379459,138.91621455287023,99.59908530577914,12895.86741526957,2020-2022,5
20-24 years,77.60469975024228,1.4654750629482884,244.32619769408313,166.72149794384086,26081.44336744525,2020-2022,6
25-29 years,189.28211420957314,1.625799467812286,491.74659995175335,302.4644857421802,65504.721195742466,2020-2022,7
30-34 years,348.65014101165605,1.6496878346454684,885.2926982821224,536.6425572704663,122307.78387792056,2020-2022,8
35-39 years,664.9487080654275,1.79148383081363,1505.0779465640499,840.1292384986224,222782.55994334532,2020-2022,9
40-44 years,1059.293310790341,1.7859680116441965,2407.0495745272897,1347.7562637369488,333888.71132152696,2020-2022,10
45-49 years,1673.1883976193353,1.8631250029263617,3611.7122405696764,1938.523842950341,495157.51823207445,2020-2022,11
5-9 years,-1.956426615133637,0.9507874027191576,37.7981631288066,39.75458974394024,-605.6090610245577,2020-2022,3
50-54 years,2577.0573262434364,1.9760650729613516,5217.30888080908,2640.2515545656433,796893.9276527241,2020-2022,12
55-59 years,3514.4193019711083,1.9678615517104403,7145.537095378955,3631.117793407847,1107601.2242318427,2020-2022,13
60-64 years,4338.063162147406,1.894082891735772,9190.032931667873,4851.969769520467,1327826.6912406362,2020-2022,14
65-69 years,4513.794838117204,1.7478501872275092,10549.488771485208,6035.693933368005,1174149.3024370442,2020-2022,15
70-74 years,4096.023722939858,1.5201839927883558,11970.206280891776,7874.182557951918,858151.0898335124,2020-2022,16
75-79 years,3684.7149910436565,1.3389957307827098,14554.21763208279,10869.502641039133,510546.0027860288,2020-2022,17
80-84 years,3311.4728137503644,1.2177488975459227,18519.23207715596,15207.759263405596,273887.0816749846,2020-2022,18
< 1 year,6.808850087995893,1.0085225744583994,805.7282518757191,798.9194017877232,382.1473920737783,2020-2022,1
