age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
20-24 years,0.2983412416582638,3.720301825509906e-4,1.0085973193309252,0.04364484211740233,0.043272811934851337,2013-2019,6
25-29 years,3.7218294952407263,0.007984229491685535,1.2154064571949645,0.04505010762577974,0.037065878134094205,2013-2019,7
30-34 years,20.765962787189544,0.03151375321808117,2.138857102507187,0.05918513810798862,0.027671384889907457,2013-2019,8
35-39 years,14.082649221161379,0.027136354630178765,1.6732520465932195,0.06744273731032621,0.04030638268014745,2013-2019,9
40-44 years,22.994277590904236,0.057953586605236966,6.74035722962013,0.06804940195035131,0.010095815345114343,2013-2019,10
45-49 years,9.591180326305981,0.01859888679156363,1.4280091707625806,0.06205329866415537,0.04345441187259174,2013-2019,11
5-9 years,19.551901712451695,0.026826293583086892,1.5675756481314667,0.0740909950751304,0.0472647014920435,2013-2019,3
50-54 years,1.8381772326447638,0.003381316976262358,1.082943413632584,0.044147868871999875,0.04076655189573752,2013-2019,12
55-59 years,-1.847960894204931,-0.004389850266604552,0.9019543331728203,0.04038367628141028,0.04477352654801483,2013-2019,13
60-64 years,8.908497302947573,0.015780028100534797,1.2865251444984718,0.07085382669561399,0.055073798595079194,2013-2019,14
65-69 years,15.188515866338943,0.03235270188464051,1.6378651486434535,0.08307298649878653,0.050720284614146016,2013-2019,15
70-74 years,6.66022372246528,0.054778135625986796,1.907415086049777,0.11514536608988708,0.06036723046390029,2013-2019,16
80-84 years,0.07552700216799657,0.0031865647682654263,1.0192451323297982,0.168764265854348,0.16557770108608258,2013-2019,18
< 1 year,8030.580460515659,57.28367780364192,1.2225189699083314,314.7164612972938,257.43278349365187,2013-2019,1
1-4 years,26.511941943044846,0.1135507761063701,1.329389757723865,0.45828151968207764,0.34473074357570754,2020-2022,2
10-14 years,1.472247835086323,0.004560154339843317,1.1277133489707833,0.04026632269728361,0.035706168357440296,2020-2022,4
15-19 years,-4.733552961661509,-0.014431732864377156,0.7171220617338935,0.036585794175151315,0.05101752703952847,2020-2022,5
