age_cat,unadj_excess_deaths_number,unadj_excess_deaths_rate,ratio_unadj_excess_deaths_rate,male_death_rate,female_death_rate,Year,age
< 1 year,175.4691942876658,1.251655573275193,1.1895876325290071,7.853645147060754,6.601989573785561,2013-2019,1
1-4 years,66.4939383575765,0.28479386093604253,1.2504422608894283,1.4219576124714934,1.137163751535451,2020-2022,2
10-14 years,106.44777300952558,0.32971233680067336,1.2944188005577686,1.44958761710221,1.1198752803015366,2020-2022,4
15-19 years,348.7814464942047,1.0633705177957102,1.756217294042188,2.4695411068227138,1.4061705890270035,2020-2022,5
20-24 years,479.5772191475171,1.4269703395884092,1.6986615720298794,3.469404612082478,2.0424342724940687,2020-2022,6
25-29 years,532.7363501634059,1.5393922885939246,1.6665339406744213,3.8489405271072044,2.3095482385132797,2020-2022,7
30-34 years,526.7608051967893,1.5015825092096051,1.5025196613600007,4.489689492219539,2.988106983009934,2020-2022,8
35-39 years,460.22599099776994,1.373656349985036,1.353537547850198,5.259117338041348,3.8854609880563116,2020-2022,9
40-44 years,507.3966335962025,1.6097634980189932,1.3037205861068288,6.90990965753149,5.300146159512496,2020-2022,10
45-49 years,427.8999591170191,1.4459181585137992,1.1833254580446972,9.333083279690069,7.8871651211762694,2020-2022,11
5-9 years,38.3192865289505,0.12379086916457238,1.1453245708589062,0.9756142630540985,0.8518233938895261,2020-2022,3
50-54 years,869.4062685121016,2.8115533523395886,1.2447932771150245,14.296972337185666,11.485418984846078,2020-2022,12
55-59 years,1271.2828247380403,4.033781111629143,1.213098071428808,22.963005034599984,18.92922392297084,2020-2022,13
60-64 years,2034.1305510421153,6.645586256614294,1.208953038528921,38.4497959651727,31.804209708558403,2020-2022,14
65-69 years,3490.686178226397,13.419282556368252,1.2351055699454068,70.49697135584805,57.077688799479795,2020-2022,15
70-74 years,4491.66967233242,21.439098256057022,1.1706151072491828,147.09677653389724,125.65767827784022,2020-2022,16
75-79 years,5284.642815909407,38.14034876354418,1.1272109522454652,337.96004266811394,299.81969390456976,2020-2022,17
80-84 years,2846.443811767065,34.41535555780649,1.0507500059766242,712.5503605794516,678.1350050216452,2020-2022,18
< 1 year,86.91647017768366,1.5486203174280977,1.266546642895594,7.358561499222274,5.809941181794176,2020-2022,1
