age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
< 1 year,47.37975270147294,1.3062274945038197,202.10051929443458,154.72076659296164,5756.773564131581,2000-2005,1
1-4 years,5.481152363029789,1.1784069512657933,36.203903489828036,30.722751126798247,3156.7072969424908,2006-2012,2
10-14 years,1.4462678642995392,1.1167634889894307,13.832570096416402,12.386302232116863,1075.2462547034052,2006-2012,4
15-19 years,1.6424015691312164,1.0865619167374465,20.61612154939499,18.973719980263773,1293.0028077197335,2006-2012,5
20-24 years,7.210360313589863,1.3049669040240564,30.85345147675784,23.643091163167977,5569.806787826021,2006-2012,6
25-29 years,4.741133989783954,1.1500074319402591,36.34712796261676,31.605993972832806,3497.6062776208887,2006-2012,7
30-34 years,-0.34580186338354935,0.991062755578218,38.34642216718609,38.69222403056964,-240.61314149293239,2006-2012,8
35-39 years,-1.0892899744356868,0.9764296851168316,45.125195484710545,46.21448545914623,-773.6797943882746,2006-2012,9
40-44 years,-6.2209989722128824,0.8941124763341496,52.53001112643203,58.75101009864491,-4619.73772540134,2006-2012,10
45-49 years,-9.106358250653656,0.8648703045402897,58.28340548465178,67.38976373530544,-7094.3494648474425,2006-2012,11
5-9 years,0.7040272119711606,1.0507470834486792,14.577281872668005,13.873254660696844,505.3882574032972,2006-2012,3
50-54 years,-5.165368390136152,0.9326125937251919,71.48646725214401,76.65183564228016,-3867.4007262217706,2006-2012,12
55-59 years,-8.68889003795097,0.8997907602210592,78.0185838149438,86.70747385289476,-5710.678963653064,2006-2012,13
60-64 years,-9.993247342665583,0.8960925700022079,86.18127398730981,96.17452132997539,-5373.120264292452,2006-2012,14
65-69 years,-13.706659000308008,0.8800393543324938,100.55297109787121,114.25963009817922,-5448.629965825439,2006-2012,15
70-74 years,-15.695063230587863,0.8856240058972021,121.52834062880584,137.2234038593937,-4604.725161772997,2006-2012,16
75-79 years,-8.421364538875196,0.9473579480541106,151.55272893930987,159.97409347818507,-1885.2188766511829,2006-2012,17
80-84 years,-9.723365224373623,0.9505089882365118,186.74393010675547,196.4672953311291,-1547.863287937255,2006-2012,18
< 1 year,26.640327934999192,1.1595132214290054,193.65048355934667,167.01015562434748,3840.3692410731687,2006-2012,1
1-4 years,0.09020032330364813,1.0030404941171638,29.756537381632185,29.666337058328537,51.40607437201121,2013-2019,2
10-14 years,-0.7698818367328073,0.9341320151185287,10.91837366581826,11.688255502551067,-569.9052991001035,2013-2019,4
15-19 years,0.8411075191903414,1.048501987563123,18.182819920062204,17.341712400871863,635.4645698703819,2013-2019,5
20-24 years,3.436991458835074,1.1547224577449047,25.650906031609896,22.213914572774822,2756.218036844793,2013-2019,6
25-29 years,1.986102333209658,1.0704491691164097,30.178093212872593,28.191990879662935,1610.4862706668912,2013-2019,7
30-34 years,0.940383370881662,1.0246000292059414,39.1673042826073,38.226920911725635,723.9452232388916,2013-2019,8
35-39 years,0.8086935927495489,1.0176513534411546,46.6235142774943,45.81482068474475,586.8372960780633,2013-2019,9
40-44 years,-3.940651515111284,0.9239863362356583,47.90070594567536,51.84135746078665,-2752.289847306599,2013-2019,10
45-49 years,-2.144707760769954,0.9668731687225183,62.59760769962353,64.74231546039348,-1550.4519199450392,2013-2019,11
5-9 years,3.945442431102034,1.3748565001737925,14.470649888549968,10.525207457447934,2875.5706555630286,2013-2019,3
50-54 years,-1.8915137568412632,0.9742243666281842,71.49227974906454,73.3837935059058,-1413.4635028867172,2013-2019,12
55-59 years,-2.0435430090897597,0.9763048474048798,84.19953986983651,86.24308287892627,-1512.623975555181,2013-2019,13
60-64 years,-3.565281603455091,0.9641165874763192,95.79209141958808,99.35737302304317,-2322.0189926667017,2013-2019,14
65-69 years,-6.5802200114493274,0.945086336087756,113.24824421131673,119.82846422276606,-3544.0972200563915,2013-2019,15
70-74 years,-11.81464499206075,0.9149762755830705,127.14239403536956,138.9570390274303,-4654.153616756535,2013-2019,16
75-79 years,-11.331426393752906,0.9297267685155524,149.91669261811703,161.24811901186993,-3013.9811774010996,2013-2019,17
80-84 years,-1.6618929246354242,0.9910084592558096,183.16659997956592,184.82849290420134,-289.1203596642163,2013-2019,18
< 1 year,41.54592723140493,1.2657450141440973,197.8834877505163,156.33756051911138,5824.310243873943,2013-2019,1
1-4 years,5.357907615371126,1.2896856054010684,23.853502548205732,18.495594932834607,1250.9693064700089,2020-2022,2
