Five-Year Age Groups,Gender,Deaths,Year
5-9 years,Male,9,2011
5-9 years,Male,4,2012
5-9 years,Male,2,2013
5-9 years,Male,6,2018
5-9 years,Male,9,2020
10-14 years,Female,5,1999
10-14 years,Female,5,2000
10-14 years,Female,1,2001
10-14 years,Female,2,2002
10-14 years,Female,8,2003
10-14 years,Female,9,2004
10-14 years,Female,6,2005
10-14 years,Female,6,2006
10-14 years,Female,8,2007
10-14 years,Female,8,2008
10-14 years,Female,7,2009
10-14 years,Female,3,2010
10-14 years,Female,6,2012
10-14 years,Female,7,2013
10-14 years,Female,5,2014
10-14 years,Female,2,2015
10-14 years,Female,2,2019
10-14 years,Male,4,2000
10-14 years,Male,7,2001
10-14 years,Male,6,2002
10-14 years,Male,3,2004
10-14 years,Male,5,2006
10-14 years,Male,8,2007
10-14 years,Male,9,2009
10-14 years,Male,5,2010
10-14 years,Male,1,2011
10-14 years,Male,6,2012
10-14 years,Male,4,2013
10-14 years,Male,5,2014
10-14 years,Male,2,2015
10-14 years,Male,8,2017
10-14 years,Male,9,2019
10-14 years,Male,8,2020
15-19 years,Female,1,1999
15-19 years,Female,4,2000
15-19 years,Female,8,2001
15-19 years,Female,3,2002
15-19 years,Female,7,2003
15-19 years,Female,2,2004
15-19 years,Female,3,2005
15-19 years,Female,3,2006
15-19 years,Female,5,2007
15-19 years,Female,3,2008
15-19 years,Female,9,2009
15-19 years,Female,3,2010
15-19 years,Female,4,2011
15-19 years,Female,6,2013
15-19 years,Female,6,2014
15-19 years,Female,8,2015
15-19 years,Female,3,2016
15-19 years,Female,2,2017
15-19 years,Female,4,2018
15-19 years,Female,2,2019
15-19 years,Female,5,2020
15-19 years,Male,1,1999
15-19 years,Male,3,2000
15-19 years,Male,6,2001
15-19 years,Male,6,2002
15-19 years,Male,1,2004
15-19 years,Male,5,2006
15-19 years,Male,2,2007
15-19 years,Male,7,2008
15-19 years,Male,3,2009
15-19 years,Male,1,2010
15-19 years,Male,1,2011
15-19 years,Male,1,2012
15-19 years,Male,1,2013
15-19 years,Male,8,2014
15-19 years,Male,2,2016
15-19 years,Male,3,2017
15-19 years,Male,5,2019
15-19 years,Male,9,2020
20-24 years,Female,5,1999
20-24 years,Female,11,2000
20-24 years,Female,3,2001
20-24 years,Female,12,2002
20-24 years,Female,12,2003
20-24 years,Female,12,2004
20-24 years,Female,4,2005
20-24 years,Female,8,2006
20-24 years,Female,5,2007
20-24 years,Female,8,2008
20-24 years,Female,6,2009
20-24 years,Female,11,2010
20-24 years,Female,1,2011
20-24 years,Female,12,2012
20-24 years,Female,3,2013
20-24 years,Female,3,2014
20-24 years,Female,8,2015
20-24 years,Female,3,2016
20-24 years,Female,7,2017
20-24 years,Female,1,2018
20-24 years,Female,1,2019
20-24 years,Female,10,2020
20-24 years,Male,5,1999
20-24 years,Male,3,2000
20-24 years,Male,4,2001
20-24 years,Male,1,2002
20-24 years,Male,5,2003
20-24 years,Male,3,2004
20-24 years,Male,7,2005
20-24 years,Male,7,2006
20-24 years,Male,5,2007
20-24 years,Male,9,2008
20-24 years,Male,3,2009
20-24 years,Male,9,2010
20-24 years,Male,3,2011
20-24 years,Male,1,2012
20-24 years,Male,8,2013
20-24 years,Male,1,2014
20-24 years,Male,8,2015
20-24 years,Male,4,2016
20-24 years,Male,9,2017
20-24 years,Male,7,2018
20-24 years,Male,9,2019
20-24 years,Male,2,2020
25-29 years,Female,1,1999
25-29 years,Female,18,2000
25-29 years,Female,13,2001
25-29 years,Female,14,2002
25-29 years,Female,20,2003
25-29 years,Female,17,2004
25-29 years,Female,14,2005
25-29 years,Female,3,2006
25-29 years,Female,6,2007
25-29 years,Female,3,2008
25-29 years,Female,15,2009
25-29 years,Female,15,2010
25-29 years,Female,5,2011
25-29 years,Female,12,2012
25-29 years,Female,11,2013
25-29 years,Female,13,2014
25-29 years,Female,4,2015
25-29 years,Female,14,2016
25-29 years,Female,12,2017
25-29 years,Female,14,2018
25-29 years,Female,10,2019
25-29 years,Female,10,2020
25-29 years,Male,6,1999
25-29 years,Male,2,2000
25-29 years,Male,1,2001
25-29 years,Male,8,2002
25-29 years,Male,7,2003
25-29 years,Male,11,2004
25-29 years,Male,2,2005
25-29 years,Male,7,2006
25-29 years,Male,8,2007
25-29 years,Male,4,2008
25-29 years,Male,10,2009
25-29 years,Male,14,2010
25-29 years,Male,7,2011
25-29 years,Male,6,2012
