Year,Infections,Neoplasms,Blood-related,Endocrine and Metabolic,Mental Health,Neurological,Eye and Adnexa,Ear and Mastoid,Circulatory,Respiratory,Digestive,"Skin and Subcutaneous
Tissue","MSK and Connective
Tissue",Genitourinary,Perinatal,Congentinal,External causes,Overall
2010,178012.90542880842,1189287.3446769335,-4562.469325714838,220223.0274091831,33406.382164190385,59331.70717753068,394.9072940897568,-547.2141232582537,2547919.853036185,322030.68141326215,307463.1744730154,2804.688306546946,-69903.02614606323,58270.24794458279,1187.2379968541163,47.87385361659628,2247630.263795939,7099480.302106803
2011,166541.4445746037,1171466.6056269887,-2937.3422708582666,233960.93787733023,18258.10597938167,58079.3287733526,-196.39928949639392,393.6473041979984,2541540.9874988715,301144.5859016873,299810.72162113205,-4590.966887479562,-66191.2623460317,50028.87685489779,1040.523513809348,8931.47867016169,2311583.922320319,7089875.528642588
2012,169005.68574566164,1147001.3965616175,-6017.964295506734,254985.0098838332,41295.26263505303,64396.76036487979,14.675324909714972,311.17175089080524,2549938.229637087,278707.3270855086,315105.1988899345,-6216.721398181934,-56644.73914362033,55602.69240459045,-2046.831471752722,11703.59960602344,2324621.336187068,7104545.352631435
2013,170497.31571220866,1097493.8455082048,-1795.7104640360592,265562.98023303493,2095.4278821771877,76144.82217102005,-311.60641721236067,509.3634471628108,2638816.958303142,277466.9408236641,324469.2740834097,-7729.104899864413,-64310.76805448547,44500.62417495582,1847.9363671690592,2548.464730038152,2313222.5206400133,7153952.393404601
2014,153166.6348282694,1072590.6297300698,-4709.6751771785,288833.71651792317,17031.729794615574,55801.70550310865,251.10493952669867,205.83833939707696,2641094.803228571,273458.1166556993,311403.515885521,-3352.6653599759034,-57495.789725688126,49550.71868861327,-27.43505761400154,6964.2216799667485,2384755.2699015224,7205511.26411017
2015,166087.1675450551,1071309.228763095,-1885.256317615436,308493.37086318474,47361.86645703291,56508.10048654254,861.615005575525,141.96427587923128,2642348.880617818,254339.72793153097,309726.97500175075,74.44513752533936,-55497.88872841429,64115.30128554042,2139.2279070102536,9704.55229226921,2597275.9626377686,7487533.17068372
2016,148336.69905402014,993869.855297378,-6953.87044308169,317609.00431120384,33711.4772281634,45895.05875034423,-55.23718922080744,56.13898793799931,2700341.16769561,255185.3849608113,311217.92334313004,-3966.9262871710953,-54855.27761504394,58919.8895102365,378.75494327259906,-525.9054351973081,2895295.861532383,7760364.729659805
2017,131655.59774525755,945318.3512447646,-4530.1359224463195,351666.3221241663,74111.65400307713,39695.03775691119,268.3524263925218,-756.6492109308003,2725004.937927556,214964.2101589894,307284.7170008042,-3123.358289884024,-46224.48278917879,63790.617026292595,145.6733766943848,9157.077295929306,3039628.197996482,7869620.055049553
2018,129717.15123880944,916826.1914478664,-2482.2297724174227,374721.5600984886,76459.31010275097,61922.397819911865,-583.5780866915696,-662.0633595937082,2814666.3291693795,267186.86785382923,321330.4076109564,-3149.823201450849,-55045.009785608265,77872.12059427152,1990.1287306409615,5976.356097242672,2987166.7786788326,8008647.445664797
2019,127539.08657833045,881503.2744816956,931.9748661919537,407115.7088991104,80825.23158540105,52120.322652579576,54.13472326904888,516.6287654676747,2776193.467071603,227207.36911640252,312385.05291070393,1338.5222478109904,-42347.75122091207,72251.15865442301,797.3027851602461,4618.17757846171,3095980.208670697,8022055.5941227265
2020,134083.69818373327,836402.0810595403,2893.553341109641,455478.2153391159,80367.24565270543,34979.24372291219,233.53559544875995,349.1039799886268,3001981.1486439994,315488.79583335354,359098.54137300333,-5284.097497942226,-39526.67846918179,80472.98691647162,1118.0041986781614,3102.3521126002397,3608464.6686518895,10199926.20903103
2021,113997.72248476908,587189.7351838759,-8815.644763651368,406698.99235894537,117997.6425420181,-54442.03776472904,-98.41897921200449,-372.35167721810063,2699001.761398978,214963.34204512855,331864.8886116862,-10565.232971243378,-41326.19518575755,53944.845865127994,-898.7833606662375,1839.107492668609,3765081.622291971,9531787.367721776
2022,116826.46409611873,616635.1909328015,-4423.640588645039,426174.023061941,133087.55696434944,-20164.385069815256,-32.21350243053379,208.80606508356007,2783704.918146761,184669.0231535111,327044.1211798346,-10184.248578650886,-31748.88750146413,56740.817076261046,-381.92388693362614,5068.704601390871,3826189.998696557,8921579.300279984
