Five-Year Age Groups,Gender,Deaths,Year
30-34 years,Male,134,2019
30-34 years,Male,174,2020
35-39 years,Female,159,1999
35-39 years,Female,168,2000
35-39 years,Female,181,2001
35-39 years,Female,178,2002
35-39 years,Female,165,2003
35-39 years,Female,174,2004
35-39 years,Female,161,2005
35-39 years,Female,151,2006
35-39 years,Female,184,2007
35-39 years,Female,156,2008
35-39 years,Female,202,2009
35-39 years,Female,175,2010
35-39 years,Female,136,2011
35-39 years,Female,146,2012
35-39 years,Female,149,2013
35-39 years,Female,144,2014
35-39 years,Female,162,2015
35-39 years,Female,175,2016
35-39 years,Female,155,2017
35-39 years,Female,179,2018
35-39 years,Female,214,2019
35-39 years,Female,237,2020
35-39 years,Male,180,1999
35-39 years,Male,174,2000
35-39 years,Male,196,2001
35-39 years,Male,170,2002
35-39 years,Male,173,2003
35-39 years,Male,186,2004
35-39 years,Male,170,2005
35-39 years,Male,185,2006
35-39 years,Male,182,2007
35-39 years,Male,182,2008
35-39 years,Male,177,2009
35-39 years,Male,182,2010
35-39 years,Male,168,2011
35-39 years,Male,149,2012
35-39 years,Male,151,2013
35-39 years,Male,184,2014
35-39 years,Male,149,2015
35-39 years,Male,223,2016
35-39 years,Male,183,2017
35-39 years,Male,217,2018
35-39 years,Male,203,2019
35-39 years,Male,239,2020
40-44 years,Female,252,1999
40-44 years,Female,249,2000
40-44 years,Female,276,2001
40-44 years,Female,278,2002
40-44 years,Female,297,2003
40-44 years,Female,282,2004
40-44 years,Female,260,2005
40-44 years,Female,284,2006
40-44 years,Female,256,2007
40-44 years,Female,262,2008
40-44 years,Female,278,2009
40-44 years,Female,268,2010
40-44 years,Female,243,2011
40-44 years,Female,253,2012
40-44 years,Female,262,2013
40-44 years,Female,245,2014
40-44 years,Female,290,2015
40-44 years,Female,268,2016
40-44 years,Female,266,2017
40-44 years,Female,263,2018
40-44 years,Female,268,2019
40-44 years,Female,302,2020
40-44 years,Male,292,1999
40-44 years,Male,325,2000
40-44 years,Male,306,2001
40-44 years,Male,309,2002
40-44 years,Male,356,2003
40-44 years,Male,349,2004
40-44 years,Male,338,2005
40-44 years,Male,364,2006
40-44 years,Male,317,2007
40-44 years,Male,334,2008
40-44 years,Male,342,2009
40-44 years,Male,288,2010
40-44 years,Male,291,2011
40-44 years,Male,296,2012
40-44 years,Male,278,2013
40-44 years,Male,282,2014
40-44 years,Male,295,2015
40-44 years,Male,285,2016
40-44 years,Male,304,2017
40-44 years,Male,348,2018
40-44 years,Male,328,2019
40-44 years,Male,382,2020
45-49 years,Female,328,1999
45-49 years,Female,350,2000
45-49 years,Female,414,2001
45-49 years,Female,432,2002
45-49 years,Female,461,2003
45-49 years,Female,453,2004
45-49 years,Female,459,2005
45-49 years,Female,453,2006
45-49 years,Female,516,2007
45-49 years,Female,434,2008
45-49 years,Female,524,2009
45-49 years,Female,466,2010
45-49 years,Female,395,2011
45-49 years,Female,423,2012
45-49 years,Female,430,2013
45-49 years,Female,411,2014
45-49 years,Female,435,2015
45-49 years,Female,453,2016
45-49 years,Female,460,2017
45-49 years,Female,502,2018
45-49 years,Female,498,2019
45-49 years,Female,508,2020
45-49 years,Male,436,1999
45-49 years,Male,505,2000
45-49 years,Male,516,2001
45-49 years,Male,532,2002
45-49 years,Male,542,2003
45-49 years,Male,574,2004
45-49 years,Male,614,2005
45-49 years,Male,610,2006
45-49 years,Male,581,2007
45-49 years,Male,563,2008
45-49 years,Male,570,2009
45-49 years,Male,549,2010
45-49 years,Male,502,2011
45-49 years,Male,520,2012
45-49 years,Male,470,2013
45-49 years,Male,510,2014
45-49 years,Male,540,2015
45-49 years,Male,598,2016
45-49 years,Male,594,2017
45-49 years,Male,631,2018
45-49 years,Male,587,2019
45-49 years,Male,677,2020
50-54 years,Female,511,1999
50-54 years,Female,536,2000
50-54 years,Female,596,2001
50-54 years,Female,598,2002
50-54 years,Female,616,2003
50-54 years,Female,680,2004
50-54 years,Female,618,2005
50-54 years,Female,735,2006
50-54 years,Female,750,2007
50-54 years,Female,726,2008
50-54 years,Female,762,2009
50-54 years,Female,790,2010
50-54 years,Female,722,2011
50-54 years,Female,736,2012
50-54 years,Female,717,2013
50-54 years,Female,675,2014
50-54 years,Female,776,2015
50-54 years,Female,781,2016
50-54 years,Female,788,2017
50-54 years,Female,775,2018
50-54 years,Female,756,2019
50-54 years,Female,839,2020
50-54 years,Male,571,1999
50-54 years,Male,655,2000
50-54 years,Male,707,2001
50-54 years,Male,741,2002
50-54 years,Male,827,2003
50-54 years,Male,857,2004
50-54 years,Male,845,2005
50-54 years,Male,952,2006
50-54 years,Male,908,2007
50-54 years,Male,966,2008
50-54 years,Male,977,2009
50-54 years,Male,929,2010
50-54 years,Male,860,2011
50-54 years,Male,917,2012
50-54 years,Male,951,2013
50-54 years,Male,976,2014
50-54 years,Male,1018,2015
50-54 years,Male,969,2016
50-54 years,Male,1003,2017
50-54 years,Male,1058,2018
50-54 years,Male,1064,2019
50-54 years,Male,1141,2020
55-59 years,Female,704,1999
55-59 years,Female,725,2000
55-59 years,Female,832,2001
55-59 years,Female,894,2002
55-59 years,Female,905,2003
55-59 years,Female,981,2004
55-59 years,Female,1006,2005
55-59 years,Female,1093,2006
55-59 years,Female,1126,2007
55-59 years,Female,1089,2008
55-59 years,Female,1064,2009
55-59 years,Female,1145,2010
55-59 years,Female,1036,2011
55-59 years,Female,1108,2012
55-59 years,Female,1185,2013
55-59 years,Female,1191,2014
55-59 years,Female,1230,2015
55-59 years,Female,1348,2016
55-59 years,Female,1368,2017
55-59 years,Female,1327,2018
55-59 years,Female,1297,2019
55-59 years,Female,1453,2020
55-59 years,Male,766,1999
55-59 years,Male,821,2000
55-59 years,Male,884,2001
55-59 years,Male,937,2002
55-59 years,Male,1084,2003
55-59 years,Male,1157,2004
55-59 years,Male,1236,2005
55-59 years,Male,1299,2006
55-59 years,Male,1293,2007
55-59 years,Male,1379,2008
55-59 years,Male,1350,2009
55-59 years,Male,1427,2010
55-59 years,Male,1300,2011
55-59 years,Male,1362,2012
55-59 years,Male,1396,2013
55-59 years,Male,1468,2014
55-59 years,Male,1652,2015
55-59 years,Male,1597,2016
55-59 years,Male,1664,2017
55-59 years,Male,1666,2018
55-59 years,Male,1719,2019
55-59 years,Male,1860,2020
60-64 years ,Female,1003,1999
60-64 years ,Female,1100,2000
60-64 years ,Female,1144,2001
60-64 years ,Female,1153,2002
60-64 years ,Female,1309,2003
60-64 years ,Female,1281,2004
60-64 years ,Female,1259,2005
60-64 years ,Female,1399,2006
60-64 years ,Female,1415,2007
60-64 years ,Female,1576,2008
60-64 years ,Female,1565,2009
60-64 years ,Female,1631,2010
60-64 years ,Female,1653,2011
60-64 years ,Female,1624,2012
60-64 years ,Female,1666,2013
60-64 years ,Female,1758,2014
60-64 years ,Female,1847,2015
60-64 years ,Female,1982,2016
60-64 years ,Female,2042,2017
60-64 years ,Female,2033,2018
60-64 years ,Female,2082,2019
60-64 years ,Female,2285,2020
60-64 years ,Male,1117,1999
60-64 years ,Male,1135,2000
60-64 years ,Male,1150,2001
60-64 years ,Male,1231,2002
60-64 years ,Male,1374,2003
60-64 years ,Male,1391,2004
60-64 years ,Male,1572,2005
60-64 years ,Male,1575,2006
60-64 years ,Male,1635,2007
60-64 years ,Male,1743,2008
