Year,Excess YPLL Rate,Excess YPLL Number,shortname
2012,29.01743489140921,41295.26263505303,Mental Health
2013,1.3822713427828717,2095.4278821771877,Mental Health
2014,11.145708024905275,17031.729794615574,Mental Health
2015,30.75049212452751,47361.86645703291,Mental Health
2016,21.77412021983793,33711.4772281634,Mental Health
2017,47.47299173297671,74111.65400307713,Mental Health
2018,48.75159442951258,76459.31010275097,Mental Health
2019,51.367925418676975,80825.23158540105,Mental Health
2020,50.88680541068777,80367.24565270543,Mental Health
2021,73.57044151820708,117997.6425420181,Mental Health
2022,82.60312284535627,133087.55696434944,Mental Health
2000,38.19517076773752,51516.70978593715,Neurological
2001,31.991091008199533,43693.64803886323,Neurological
2002,27.565512724942774,38018.54121745197,Neurological
2003,25.38394650864973,35298.27100884753,Neurological
2004,16.931645830196317,23771.467091105944,Neurological
2005,28.428323477998788,40284.50446462998,Neurological
2006,34.974871280189404,50036.11968550529,Neurological
2007,27.87623015121858,40239.56179064983,Neurological
2008,28.736007468657363,41873.331624885184,Neurological
2009,36.14612439404391,53144.811359628016,Neurological
2010,40.095121826114,59331.70717753068,Neurological
2011,38.887264472792936,58079.3287733526,Neurological
2012,42.78533377646272,64396.76036487979,Neurological
2013,50.22974375951287,76144.82217102005,Neurological
2014,36.517108028922735,55801.70550310865,Neurological
2015,36.68883912250055,56508.10048654254,Neurological
2016,29.64345110013926,45895.05875034423,Neurological
2017,25.427069799249125,39695.03775691119,Neurological
2018,39.48264273588654,61922.397819911865,Neurological
2019,33.124716060803394,52120.322652579576,Neurological
2020,22.148102181238983,34979.24372291219,Neurological
2021,-33.94410828229684,-54442.03776472904,Neurological
2022,-12.5153787101915,-20164.385069815256,Neurological
2000,0.2460403442439656,162.7043144935051,Eye and Adnexa
2001,-1.4565793651079253,-148.469629922435,Eye and Adnexa
2002,-0.5563866406607167,-321.8779562193041,Eye and Adnexa
2003,1.1584367250388432,654.0654458676058,Eye and Adnexa
2004,-0.8683180271363442,-534.1520949658978,Eye and Adnexa
2005,-0.6101565366417219,-347.4460738495742,Eye and Adnexa
2006,-0.12326271610843298,-88.05256347578249,Eye and Adnexa
2007,-0.3086084732236176,-165.94582466986765,Eye and Adnexa
2008,-1.0055901228419015,-729.645322704856,Eye and Adnexa
