age_cat,unadj_excess_deaths_rate,Year,shortname,keep
< 1 year,1.5486203174280977,2020-2022,Neurological,TRUE
1-4 years,-0.04112092109442752,2000-2005,Eye and Adnexa,FALSE
10-14 years,-0.05118939354004544,2000-2005,Eye and Adnexa,FALSE
15-19 years,0.00678389261758696,2000-2005,Eye and Adnexa,FALSE
20-24 years,0.04082879069627367,2000-2005,Eye and Adnexa,FALSE
25-29 years,-0.05191761161508844,2000-2005,Eye and Adnexa,FALSE
45-49 years,-0.03622073287365693,2000-2005,Eye and Adnexa,FALSE
5-9 years,0.00983395755259042,2000-2005,Eye and Adnexa,FALSE
50-54 years,-0.01254167332096097,2000-2005,Eye and Adnexa,FALSE
55-59 years,0.00856592574903381,2000-2005,Eye and Adnexa,FALSE
60-64 years,0.017327036932038,2000-2005,Eye and Adnexa,FALSE
65-69 years,0.01306704824902917,2000-2005,Eye and Adnexa,FALSE
70-74 years,-9.643816875428008e-4,2000-2005,Eye and Adnexa,FALSE
75-79 years,0.03524702028953958,2000-2005,Eye and Adnexa,FALSE
80-84 years,0.07264204747764191,2000-2005,Eye and Adnexa,FALSE
< 1 year,-0.08915514843502048,2000-2005,Eye and Adnexa,FALSE
10-14 years,0.05960141024973655,2006-2012,Eye and Adnexa,FALSE
15-19 years,-0.02632234397994799,2006-2012,Eye and Adnexa,FALSE
20-24 years,-0.01480684924481405,2006-2012,Eye and Adnexa,FALSE
25-29 years,-0.00242706380038862,2006-2012,Eye and Adnexa,FALSE
35-39 years,0.0133144053003525,2006-2012,Eye and Adnexa,FALSE
40-44 years,-0.00378198165181991,2006-2012,Eye and Adnexa,FALSE
45-49 years,-0.00658809421677991,2006-2012,Eye and Adnexa,FALSE
50-54 years,-0.02389627407808888,2006-2012,Eye and Adnexa,FALSE
55-59 years,0.01202505246127519,2006-2012,Eye and Adnexa,FALSE
60-64 years,-0.00234254093040604,2006-2012,Eye and Adnexa,FALSE
65-69 years,-0.02221253557732258,2006-2012,Eye and Adnexa,FALSE
70-74 years,-0.03033424397465858,2006-2012,Eye and Adnexa,FALSE
75-79 years,0.08133752212478965,2006-2012,Eye and Adnexa,FALSE
80-84 years,-0.02388952679419861,2006-2012,Eye and Adnexa,FALSE
< 1 year,0.21609912834921205,2006-2012,Eye and Adnexa,FALSE
1-4 years,0.00215297654567515,2013-2019,Eye and Adnexa,FALSE
10-14 years,0.00648701698132223,2013-2019,Eye and Adnexa,FALSE
15-19 years,-8.463658504674794e-4,2013-2019,Eye and Adnexa,FALSE
25-29 years,0.01325463117096475,2013-2019,Eye and Adnexa,FALSE
30-34 years,0.05930482842863324,2013-2019,Eye and Adnexa,FALSE
40-44 years,0.03745926228295884,2013-2019,Eye and Adnexa,FALSE
45-49 years,-0.00533235318152211,2013-2019,Eye and Adnexa,FALSE
5-9 years,0.00932306424948499,2013-2019,Eye and Adnexa,FALSE
50-54 years,-0.01517591409751962,2013-2019,Eye and Adnexa,FALSE
55-59 years,-0.00170652409252167,2013-2019,Eye and Adnexa,FALSE
60-64 years,-0.01041818330970409,2013-2019,Eye and Adnexa,FALSE
65-69 years,-0.01486382933794397,2013-2019,Eye and Adnexa,FALSE
70-74 years,-0.00492886174477164,2013-2019,Eye and Adnexa,FALSE
75-79 years,0.06999123491821399,2013-2019,Eye and Adnexa,FALSE
80-84 years,0.0621544249930262,2013-2019,Eye and Adnexa,FALSE
< 1 year,0.08205534020052874,2013-2019,Eye and Adnexa,FALSE
10-14 years,0.00338201188424137,2020-2022,Eye and Adnexa,FALSE
15-19 years,-0.00994868309301402,2020-2022,Eye and Adnexa,FALSE
30-34 years,-8.527122349665517e-4,2020-2022,Eye and Adnexa,FALSE
45-49 years,-0.04521907451266844,2020-2022,Eye and Adnexa,FALSE
55-59 years,0.04823188518729596,2020-2022,Eye and Adnexa,FALSE
60-64 years,-0.05097520377113403,2020-2022,Eye and Adnexa,FALSE
65-69 years,0.07149282996436218,2020-2022,Eye and Adnexa,FALSE
70-74 years,0.02857533500313883,2020-2022,Eye and Adnexa,FALSE
75-79 years,-0.01140631563967807,2020-2022,Eye and Adnexa,FALSE
80-84 years,0.08587253269830207,2020-2022,Eye and Adnexa,FALSE
1-4 years,-0.0233533854975412,2000-2005,Ear and Mastoid,FALSE
10-14 years,8.958745063025533e-4,2000-2005,Ear and Mastoid,FALSE
20-24 years,-0.0633944523371313,2000-2005,Ear and Mastoid,FALSE
25-29 years,0.01876752925862024,2000-2005,Ear and Mastoid,FALSE
30-34 years,-0.02761745961040584,2000-2005,Ear and Mastoid,FALSE
35-39 years,0.02954695157394538,2000-2005,Ear and Mastoid,FALSE
40-44 years,-0.00414133889974541,2000-2005,Ear and Mastoid,FALSE
45-49 years,-0.01702037354760847,2000-2005,Ear and Mastoid,FALSE
50-54 years,-0.00652954628577986,2000-2005,Ear and Mastoid,FALSE
55-59 years,-0.03358158377048588,2000-2005,Ear and Mastoid,FALSE
60-64 years,0.01137774121438671,2000-2005,Ear and Mastoid,FALSE
65-69 years,0.00430404710958019,2000-2005,Ear and Mastoid,FALSE
70-74 years,-0.00936952660018675,2000-2005,Ear and Mastoid,FALSE
75-79 years,0.01288464404590522,2000-2005,Ear and Mastoid,FALSE
80-84 years,0.03375587969543148,2000-2005,Ear and Mastoid,FALSE
< 1 year,-0.22338219485176336,2000-2005,Ear and Mastoid,FALSE
1-4 years,-0.00792937298521435,2006-2012,Ear and Mastoid,FALSE
10-14 years,-0.00335556196073788,2006-2012,Ear and Mastoid,FALSE
15-19 years,0.02186310622411944,2006-2012,Ear and Mastoid,FALSE
20-24 years,0.00870048717107614,2006-2012,Ear and Mastoid,FALSE
25-29 years,0.00191209907875285,2006-2012,Ear and Mastoid,FALSE
30-34 years,-0.0105046685681345,2006-2012,Ear and Mastoid,FALSE
35-39 years,-0.00571741368092215,2006-2012,Ear and Mastoid,FALSE
40-44 years,-0.02364631710137843,2006-2012,Ear and Mastoid,FALSE
45-49 years,-0.00922892774296162,2006-2012,Ear and Mastoid,FALSE
50-54 years,-0.01568633028037845,2006-2012,Ear and Mastoid,FALSE
55-59 years,-0.02157827766165929,2006-2012,Ear and Mastoid,FALSE
60-64 years,0.02765081968469879,2006-2012,Ear and Mastoid,FALSE
65-69 years,-0.02824106320584514,2006-2012,Ear and Mastoid,FALSE
70-74 years,0.03516882445952682,2006-2012,Ear and Mastoid,FALSE
75-79 years,0.05041722899075362,2006-2012,Ear and Mastoid,FALSE
80-84 years,0.06555850076615985,2006-2012,Ear and Mastoid,FALSE
< 1 year,-0.00351750353840227,2006-2012,Ear and Mastoid,FALSE
1-4 years,0.05075638880806579,2013-2019,Ear and Mastoid,FALSE
10-14 years,-0.03695259233813867,2013-2019,Ear and Mastoid,FALSE
15-19 years,0.054691698475445,2013-2019,Ear and Mastoid,FALSE
20-24 years,0.00820031077122208,2013-2019,Ear and Mastoid,FALSE
25-29 years,-0.02544550019078844,2013-2019,Ear and Mastoid,FALSE
30-34 years,-0.00402596348602118,2013-2019,Ear and Mastoid,FALSE
35-39 years,-0.00361100414071203,2013-2019,Ear and Mastoid,FALSE
40-44 years,0.00112748397236758,2013-2019,Ear and Mastoid,FALSE
45-49 years,-0.00282933038589166,2013-2019,Ear and Mastoid,FALSE
5-9 years,-0.06027471510860177,2013-2019,Ear and Mastoid,FALSE
50-54 years,-0.01967490804432017,2013-2019,Ear and Mastoid,FALSE
55-59 years,7.294789599719548e-4,2013-2019,Ear and Mastoid,FALSE
60-64 years,-0.00521924667605264,2013-2019,Ear and Mastoid,FALSE
65-69 years,0.00160815430373709,2013-2019,Ear and Mastoid,FALSE
70-74 years,0.00184079916888292,2013-2019,Ear and Mastoid,FALSE
75-79 years,0.01466835252407357,2013-2019,Ear and Mastoid,FALSE
80-84 years,0.10885605197407903,2013-2019,Ear and Mastoid,FALSE
< 1 year,-0.02697116448567499,2013-2019,Ear and Mastoid,FALSE
1-4 years,-0.05568768700389399,2020-2022,Ear and Mastoid,FALSE
20-24 years,0.05829538154031266,2020-2022,Ear and Mastoid,FALSE
25-29 years,0.02135911941827449,2020-2022,Ear and Mastoid,FALSE
30-34 years,0.00441321609388527,2020-2022,Ear and Mastoid,FALSE
40-44 years,0.00107269784591715,2020-2022,Ear and Mastoid,FALSE
45-49 years,8.687926575672161e-4,2020-2022,Ear and Mastoid,FALSE
50-54 years,-0.01720126474396574,2020-2022,Ear and Mastoid,FALSE
55-59 years,0.00849678498403913,2020-2022,Ear and Mastoid,FALSE
60-64 years,-0.00727305539720386,2020-2022,Ear and Mastoid,FALSE
65-69 years,0.02113425035519582,2020-2022,Ear and Mastoid,FALSE
70-74 years,0.0737853528513765,2020-2022,Ear and Mastoid,FALSE
75-79 years,0.04315707045133843,2020-2022,Ear and Mastoid,FALSE
80-84 years,-0.02211799399072883,2020-2022,Ear and Mastoid,FALSE
1-4 years,0.1406085351143902,2000-2005,Circulatory,TRUE
10-14 years,0.23886260243399984,2000-2005,Circulatory,TRUE
15-19 years,1.1290522307838098,2000-2005,Circulatory,TRUE
20-24 years,2.0685635634707324,2000-2005,Circulatory,TRUE
25-29 years,3.663172675271535,2000-2005,Circulatory,TRUE
30-34 years,7.331436397693928,2000-2005,Circulatory,TRUE
35-39 years,15.822121026510722,2000-2005,Circulatory,TRUE
40-44 years,35.29006895422119,2000-2005,Circulatory,TRUE
45-49 years,70.33532572279547,2000-2005,Circulatory,TRUE
5-9 years,-0.03799423781923217,2000-2005,Circulatory,TRUE
50-54 years,119.1887682247554,2000-2005,Circulatory,TRUE
55-59 years,177.02806698862858,2000-2005,Circulatory,TRUE
60-64 years,257.41155514138313,2000-2005,Circulatory,TRUE
65-69 years,350.2243851503654,2000-2005,Circulatory,TRUE
70-74 years,504.8203591472343,2000-2005,Circulatory,TRUE
75-79 years,712.4154953281479,2000-2005,Circulatory,TRUE
80-84 years,959.5938742076564,2000-2005,Circulatory,TRUE
< 1 year,1.9896614780908912,2000-2005,Circulatory,TRUE
1-4 years,0.0353464085119366,2006-2012,Circulatory,TRUE
10-14 years,0.17059134239712592,2006-2012,Circulatory,TRUE
15-19 years,1.115412873812468,2006-2012,Circulatory,TRUE
20-24 years,2.3507804837140425,2006-2012,Circulatory,TRUE
25-29 years,4.306631847327208,2006-2012,Circulatory,TRUE
30-34 years,8.239124124694488,2006-2012,Circulatory,TRUE
35-39 years,16.02153927628371,2006-2012,Circulatory,TRUE
40-44 years,31.00176224908036,2006-2012,Circulatory,TRUE
45-49 years,59.18930841666931,2006-2012,Circulatory,TRUE
5-9 years,-0.00472529108028219,2006-2012,Circulatory,TRUE
50-54 years,104.18877517246403,2006-2012,Circulatory,TRUE
55-59 years,159.01233530826923,2006-2012,Circulatory,TRUE
60-64 years,212.71664257872536,2006-2012,Circulatory,TRUE
65-69 years,279.36843959885266,2006-2012,Circulatory,TRUE
70-74 years,367.1804378291091,2006-2012,Circulatory,TRUE
75-79 years,502.9727588431175,2006-2012,Circulatory,TRUE
80-84 years,721.6605235619134,2006-2012,Circulatory,TRUE
< 1 year,2.471177516590698,2006-2012,Circulatory,TRUE
1-4 years,0.14228374411609046,2013-2019,Circulatory,TRUE
10-14 years,0.14315127049550425,2013-2019,Circulatory,TRUE
15-19 years,0.8303084695593139,2013-2019,Circulatory,TRUE
20-24 years,2.022463534062414,2013-2019,Circulatory,TRUE
25-29 years,3.786457109707083,2013-2019,Circulatory,TRUE
30-34 years,7.927032318544672,2013-2019,Circulatory,TRUE
35-39 years,14.77168761737556,2013-2019,Circulatory,TRUE
40-44 years,29.184393620058753,2013-2019,Circulatory,TRUE
45-49 years,52.82914512245054,2013-2019,Circulatory,TRUE
5-9 years,0.00132347654415654,2013-2019,Circulatory,TRUE
50-54 years,93.84301681144234,2013-2019,Circulatory,TRUE
55-59 years,150.27225517064744,2013-2019,Circulatory,TRUE
60-64 years,220.1728259786551,2013-2019,Circulatory,TRUE
65-69 years,278.7418363629493,2013-2019,Circulatory,TRUE
70-74 years,353.41991419495827,2013-2019,Circulatory,TRUE
75-79 years,477.7171572300981,2013-2019,Circulatory,TRUE
80-84 years,658.1341519917539,2013-2019,Circulatory,TRUE
< 1 year,1.5219962868926338,2013-2019,Circulatory,TRUE
1-4 years,0.16057210654475407,2020-2022,Circulatory,TRUE
10-14 years,0.15060166205533865,2020-2022,Circulatory,TRUE
15-19 years,0.7930914567123781,2020-2022,Circulatory,TRUE
20-24 years,1.6684342856531162,2020-2022,Circulatory,TRUE
25-29 years,4.279944677204564,2020-2022,Circulatory,TRUE
30-34 years,8.639956028459624,2020-2022,Circulatory,TRUE
35-39 years,17.87180528234176,2020-2022,Circulatory,TRUE
40-44 years,32.10386365239053,2020-2022,Circulatory,TRUE
45-49 years,57.02265749440936,2020-2022,Circulatory,TRUE
5-9 years,0.01217606056771425,2020-2022,Circulatory,TRUE
50-54 years,100.07919064879822,2020-2022,Circulatory,TRUE
55-59 years,160.2752078009788,2020-2022,Circulatory,TRUE
60-64 years,237.20678928448035,2020-2022,Circulatory,TRUE
65-69 years,306.24018733586075,2020-2022,Circulatory,TRUE
70-74 years,366.94787174507434,2020-2022,Circulatory,TRUE
75-79 years,480.6828002655179,2020-2022,Circulatory,TRUE
80-84 years,678.6708539453484,2020-2022,Circulatory,TRUE
< 1 year,0.8153228854629706,2020-2022,Circulatory,TRUE
1-4 years,0.29733845195507347,2000-2005,Respiratory,TRUE
10-14 years,0.10605837761032456,2000-2005,Respiratory,TRUE
15-19 years,0.37346052936686425,2000-2005,Respiratory,TRUE
20-24 years,0.42404301239573305,2000-2005,Respiratory,TRUE
25-29 years,0.3841150537995526,2000-2005,Respiratory,TRUE
30-34 years,0.48965545212528694,2000-2005,Respiratory,TRUE
35-39 years,0.4371215184288735,2000-2005,Respiratory,TRUE
40-44 years,1.0046103860252424,2000-2005,Respiratory,TRUE
45-49 years,2.698532006133032,2000-2005,Respiratory,TRUE
5-9 years,0.13275190505041656,2000-2005,Respiratory,TRUE
50-54 years,5.513626329477358,2000-2005,Respiratory,TRUE
55-59 years,9.423978384951596,2000-2005,Respiratory,TRUE
60-64 years,21.481382202203363,2000-2005,Respiratory,TRUE
65-69 years,48.63970983052454,2000-2005,Respiratory,TRUE
70-74 years,108.61450230973357,2000-2005,Respiratory,TRUE
75-79 years,211.54803234821037,2000-2005,Respiratory,TRUE
80-84 years,382.22842009594217,2000-2005,Respiratory,TRUE
< 1 year,5.075759988345407,2000-2005,Respiratory,TRUE
1-4 years,0.2890856621210103,2006-2012,Respiratory,TRUE
10-14 years,0.13603225746500913,2006-2012,Respiratory,TRUE
15-19 years,0.2384758421894526,2006-2012,Respiratory,TRUE
20-24 years,0.6084522889306903,2006-2012,Respiratory,TRUE
25-29 years,0.5098705998115449,2006-2012,Respiratory,TRUE
30-34 years,0.4646047120210128,2006-2012,Respiratory,TRUE
35-39 years,0.35411681151132557,2006-2012,Respiratory,TRUE
40-44 years,0.4119784929763979,2006-2012,Respiratory,TRUE
45-49 years,0.6996381474580673,2006-2012,Respiratory,TRUE
5-9 years,0.2117508465154906,2006-2012,Respiratory,TRUE
50-54 years,3.811860694542922,2006-2012,Respiratory,TRUE
55-59 years,11.03233456563352,2006-2012,Respiratory,TRUE
60-64 years,20.683324532649664,2006-2012,Respiratory,TRUE
65-69 years,37.648689818268565,2006-2012,Respiratory,TRUE
70-74 years,77.00991053268316,2006-2012,Respiratory,TRUE
75-79 years,153.14696345273387,2006-2012,Respiratory,TRUE
80-84 years,297.2737663352211,2006-2012,Respiratory,TRUE
< 1 year,4.995216475542797,2006-2012,Respiratory,TRUE
1-4 years,0.4068591400480264,2013-2019,Respiratory,TRUE
10-14 years,0.08755812039295241,2013-2019,Respiratory,TRUE
15-19 years,0.27333119081924073,2013-2019,Respiratory,TRUE
20-24 years,0.560803448301088,2013-2019,Respiratory,TRUE
25-29 years,0.5684637324293549,2013-2019,Respiratory,TRUE
30-34 years,0.4882736006941229,2013-2019,Respiratory,TRUE
35-39 years,0.6532178310916565,2013-2019,Respiratory,TRUE
40-44 years,0.22550207266256272,2013-2019,Respiratory,TRUE
45-49 years,0.2897978777098924,2013-2019,Respiratory,TRUE
5-9 years,0.14048696764276625,2013-2019,Respiratory,TRUE
50-54 years,1.6718880156327245,2013-2019,Respiratory,TRUE
55-59 years,7.426176708914994,2013-2019,Respiratory,TRUE
60-64 years,22.488106659177433,2013-2019,Respiratory,TRUE
65-69 years,41.542461791932965,2013-2019,Respiratory,TRUE
70-74 years,67.75711796099168,2013-2019,Respiratory,TRUE
75-79 years,121.62846845828471,2013-2019,Respiratory,TRUE
80-84 years,210.8998226164466,2013-2019,Respiratory,TRUE
< 1 year,3.783218368289779,2013-2019,Respiratory,TRUE
1-4 years,0.11624836985184615,2020-2022,Respiratory,TRUE
10-14 years,0.2194090344690781,2020-2022,Respiratory,TRUE
15-19 years,0.12149693786805692,2020-2022,Respiratory,TRUE
20-24 years,0.4026992410302106,2020-2022,Respiratory,TRUE
25-29 years,0.6849395015896524,2020-2022,Respiratory,TRUE
30-34 years,0.9540031142167948,2020-2022,Respiratory,TRUE
35-39 years,0.8373058828573026,2020-2022,Respiratory,TRUE
40-44 years,1.1313141458542075,2020-2022,Respiratory,TRUE
45-49 years,1.435047558548295,2020-2022,Respiratory,TRUE
5-9 years,0.14141866176567242,2020-2022,Respiratory,TRUE
50-54 years,2.120685500801507,2020-2022,Respiratory,TRUE
55-59 years,5.994831447637338,2020-2022,Respiratory,TRUE
60-64 years,18.070268077739183,2020-2022,Respiratory,TRUE
65-69 years,43.36700975765068,2020-2022,Respiratory,TRUE
70-74 years,68.47131017103086,2020-2022,Respiratory,TRUE
75-79 years,110.53777201803382,2020-2022,Respiratory,TRUE
80-84 years,189.71238759246648,2020-2022,Respiratory,TRUE
< 1 year,2.4434452996794835,2020-2022,Respiratory,TRUE
1-4 years,0.28612843187811354,2000-2005,Digestive,TRUE
10-14 years,-0.00856103420584714,2000-2005,Digestive,TRUE
15-19 years,0.02977996786812653,2000-2005,Digestive,TRUE
20-24 years,0.16745337321135212,2000-2005,Digestive,TRUE
25-29 years,0.5213999509875085,2000-2005,Digestive,TRUE
30-34 years,1.672160610892985,2000-2005,Digestive,TRUE
35-39 years,3.8463506639745777,2000-2005,Digestive,TRUE
40-44 years,9.368095039602272,2000-2005,Digestive,TRUE
45-49 years,19.790646159919913,2000-2005,Digestive,TRUE
5-9 years,0.07810265897765659,2000-2005,Digestive,TRUE
50-54 years,28.46204019165621,2000-2005,Digestive,TRUE
55-59 years,28.06111316639673,2000-2005,Digestive,TRUE
60-64 years,28.724786169890848,2000-2005,Digestive,TRUE
65-69 years,26.75671618385188,2000-2005,Digestive,TRUE
70-74 years,26.75412002023461,2000-2005,Digestive,TRUE
75-79 years,26.92423647054585,2000-2005,Digestive,TRUE
80-84 years,23.494033665058,2000-2005,Digestive,TRUE
< 1 year,4.5454095285526694,2000-2005,Digestive,TRUE
1-4 years,0.08458039038914977,2006-2012,Digestive,TRUE
10-14 years,0.01318877392211373,2006-2012,Digestive,TRUE
15-19 years,0.11092923227300816,2006-2012,Digestive,TRUE
20-24 years,0.21724095798837215,2006-2012,Digestive,TRUE
25-29 years,0.7172066670324972,2006-2012,Digestive,TRUE
30-34 years,1.5625480067078,2006-2012,Digestive,TRUE
35-39 years,3.3376642387821844,2006-2012,Digestive,TRUE
40-44 years,7.10245340624947,2006-2012,Digestive,TRUE
45-49 years,14.807679590169382,2006-2012,Digestive,TRUE
5-9 years,0.00601878291516122,2006-2012,Digestive,TRUE
50-54 years,26.6006109362456,2006-2012,Digestive,TRUE
55-59 years,34.810843332340966,2006-2012,Digestive,TRUE
60-64 years,32.00669985170864,2006-2012,Digestive,TRUE
65-69 years,27.471920515126996,2006-2012,Digestive,TRUE
70-74 years,21.63215525407537,2006-2012,Digestive,TRUE
75-79 years,20.497640378362433,2006-2012,Digestive,TRUE
80-84 years,23.23273961751073,2006-2012,Digestive,TRUE
< 1 year,2.780670556278106,2006-2012,Digestive,TRUE
1-4 years,0.1159209217567091,2013-2019,Digestive,TRUE
10-14 years,0.05072957577555276,2013-2019,Digestive,TRUE
15-19 years,0.07032734444401478,2013-2019,Digestive,TRUE
20-24 years,0.2544398753281193,2013-2019,Digestive,TRUE
25-29 years,0.8096249427365538,2013-2019,Digestive,TRUE
30-34 years,1.9842720860815624,2013-2019,Digestive,TRUE
35-39 years,3.498922149635102,2013-2019,Digestive,TRUE
40-44 years,6.090608152917966,2013-2019,Digestive,TRUE
45-49 years,11.720060427171966,2013-2019,Digestive,TRUE
5-9 years,0.01168274934810859,2013-2019,Digestive,TRUE
50-54 years,21.161547117517813,2013-2019,Digestive,TRUE
55-59 years,32.018230284547904,2013-2019,Digestive,TRUE
60-64 years,37.82698529551122,2013-2019,Digestive,TRUE
65-69 years,33.16385056393106,2013-2019,Digestive,TRUE
70-74 years,25.227471494129915,2013-2019,Digestive,TRUE
75-79 years,23.15102864563984,2013-2019,Digestive,TRUE
80-84 years,24.002346071550136,2013-2019,Digestive,TRUE
< 1 year,1.225518290890628,2013-2019,Digestive,TRUE
1-4 years,-3.295814024985577e-4,2020-2022,Digestive,TRUE
10-14 years,0.0960983571484938,2020-2022,Digestive,TRUE
15-19 years,0.1413719201148932,2020-2022,Digestive,TRUE
20-24 years,0.5743316358663003,2020-2022,Digestive,TRUE
25-29 years,1.6535010078744143,2020-2022,Digestive,TRUE
30-34 years,3.921088559428715,2020-2022,Digestive,TRUE
35-39 years,7.169793383125601,2020-2022,Digestive,TRUE
40-44 years,9.92877480926828,2020-2022,Digestive,TRUE
45-49 years,13.885799382621478,2020-2022,Digestive,TRUE
5-9 years,0.05126111960768431,2020-2022,Digestive,TRUE
50-54 years,21.008108230147712,2020-2022,Digestive,TRUE
55-59 years,31.94311727360138,2020-2022,Digestive,TRUE
60-64 years,36.5278017464535,2020-2022,Digestive,TRUE
65-69 years,36.33695084922121,2020-2022,Digestive,TRUE
70-74 years,27.52577257438827,2020-2022,Digestive,TRUE
75-79 years,26.559223243953852,2020-2022,Digestive,TRUE
80-84 years,25.591109376760983,2020-2022,Digestive,TRUE
< 1 year,1.341433207216999,2020-2022,Digestive,TRUE
1-4 years,0.00105823059639401,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
10-14 years,-0.00374669750937293,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
15-19 years,-0.00692789070918012,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
20-24 years,-0.05383966065163222,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
25-29 years,-0.11576055680269992,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
30-34 years,-0.09958239163017216,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
35-39 years,-0.04684904703454534,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
40-44 years,-0.03531226550476013,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
45-49 years,0.01342403876754971,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
5-9 years,-0.01581575062366642,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
50-54 years,0.02647636812035714,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
55-59 years,-0.02578404878756002,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
60-64 years,-0.01539983665333544,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
65-69 years,-0.21716395648430753,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
70-74 years,0.06186173332057621,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
75-79 years,-0.2568105118125539,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
80-84 years,-0.9614451786715305,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
< 1 year,-0.00581019418591818,2000-2005,"Skin and Subcutaneous
Tissue",FALSE
1-4 years,-0.00266137325763805,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
10-14 years,-0.00913571739932132,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
15-19 years,-0.01665154659945882,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
20-24 years,-0.02125007278741928,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
25-29 years,-0.00531010222055915,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
30-34 years,-0.05842345492102027,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
35-39 years,0.0139728425131051,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
40-44 years,0.02002370889305693,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
45-49 years,0.03741900505704693,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
5-9 years,-0.00561214605683836,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
50-54 years,0.15353595987068336,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
55-59 years,0.07255182241871183,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
60-64 years,0.17410647309207605,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
65-69 years,0.05950052352682755,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
70-74 years,0.32468264032798233,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
75-79 years,0.135878539443393,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
80-84 years,-0.18162318007375333,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
< 1 year,-0.09177611731088892,2006-2012,"Skin and Subcutaneous
Tissue",FALSE
1-4 years,-0.03191323117072928,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
10-14 years,0.01347666588109129,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
15-19 years,-0.00773803510954059,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
20-24 years,0.02326806188181993,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
25-29 years,0.00270829784723766,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
30-34 years,-0.02467657110104304,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
35-39 years,-0.00524529599315354,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
40-44 years,0.02182152229853629,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
45-49 years,0.05642676554323767,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
5-9 years,0.00317759388181956,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
50-54 years,0.1324401804309039,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
55-59 years,0.16737626629633806,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
60-64 years,0.5131612015378173,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
65-69 years,0.19356345438457767,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
70-74 years,0.10526868166692084,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
75-79 years,0.33838919345608875,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
80-84 years,0.15379905567313834,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
< 1 year,0.04380697047766457,2013-2019,"Skin and Subcutaneous
Tissue",FALSE
1-4 years,0.04569048633223837,2020-2022,"Skin and Subcutaneous
Tissue",FALSE
10-14 years,0.01523886699504024,2020-2022,"Skin and Subcutaneous
Tissue",FALSE
15-19 years,0.0473853715812925,2020-2022,"Skin and Subcutaneous
Tissue",FALSE
20-24 years,-0.04823091320524387,2020-2022,"Skin and Subcutaneous
Tissue",FALSE
25-29 years,-0.03905094133592461,2020-2022,"Skin and Subcutaneous
Tissue",FALSE
30-34 years,-0.05956094638257922,2020-2022,"Skin and Subcutaneous
Tissue",FALSE
35-39 years,-0.0728824312509258,2020-2022,"Skin and Subcutaneous
Tissue",FALSE
40-44 years,0.07314301054811384,2020-2022,"Skin and Subcutaneous
Tissue",FALSE
45-49 years,0.02888362262985611,2020-2022,"Skin and Subcutaneous
Tissue",FALSE
