age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,3.3009498739196985,3.073184999486599,4.893161796510852,1.5922119225911537,250.61564059369607,2020-2022,2
10-14 years,0.6425516016253736,1.1543212334190684,4.806279349190005,4.163727747564631,138.68313945236352,2020-2022,4
15-19 years,2.6827633373900994,2.408067701622167,4.58804341326956,1.9052800758794604,879.9360728527371,2020-2022,5
20-24 years,-3.145626684799592,0.40354272524062057,2.1282241305309597,5.273850815330552,-1057.1844810786602,2020-2022,6
25-29 years,-2.5256781044361314,0.5825197127066055,3.524135937828215,6.049814042264346,-874.0595526004148,2020-2022,7
30-34 years,-3.7599611548109397,0.6449628589383484,6.830370728686365,10.590331883497305,-1319.0085481612314,2020-2022,8
35-39 years,-4.813897386216864,0.7360607221371719,13.424757448319335,18.2386548345362,-1612.8347495043904,2020-2022,9
40-44 years,0.6734623527906081,1.034365715175781,20.270387641434866,19.596925288644258,212.27499013379975,2020-2022,10
45-49 years,-2.4406904142407164,0.919672807614295,27.94367061908554,30.384361033326257,-722.2893787739479,2020-2022,11
50-54 years,0.6014935284882199,1.0162381201411528,37.64356017534316,37.04206664685494,185.99762430329213,2020-2022,12
55-59 years,-0.7478455172733263,0.9843051876747644,46.90137141989709,47.649216937170415,-235.69032016289597,2020-2022,13
60-64 years,-3.712371201952692,0.938647355328579,56.79636842670704,60.50873962865973,-1136.3102346591345,2020-2022,14
65-69 years,5.224385758060265,1.0776745018183513,72.48436986813482,67.25998411007456,1358.991516780411,2020-2022,15
70-74 years,-7.988796672555495,0.9074184309742476,78.30048051968275,86.28927719223825,-1673.7194495766587,2020-2022,16
75-79 years,-13.61618152750647,0.8659084267193895,87.9277201091175,101.54390163662397,-1886.6281568519362,2020-2022,17
80-84 years,-10.857772443573865,0.9078534915968454,106.97384843640023,117.8316208799741,-898.0305064602269,2020-2022,18
