age_cat,excess_yrs_lost,ratio_excess_yrs_lost,male_years_lost,female_years_lost,exc_pll_number,Year,age
1-4 years,270.41124405203755,1.340992092507051,1063.4244839307478,793.0132398787102,155735.34372660978,2006-2012,2
10-14 years,256.1166288198814,1.7235444885882174,610.0915852453212,353.9749564254398,190413.1680608257,2006-2012,4
15-19 years,2377.4157031911473,2.7548243697877477,3732.204104881001,1354.7884016898536,1871652.6074492238,2006-2012,5
20-24 years,4475.931719967793,3.6725536066238536,6150.708872753171,1674.7771527853786,3457535.239776434,2006-2012,6
25-29 years,3783.0659289362243,3.364419401211735,5383.063766459233,1599.997837523009,2790824.9735637577,2006-2012,7
30-34 years,2944.4076188895106,2.9502628037818,4454.156773300875,1509.7491544113648,2048754.6252199672,2006-2012,8
35-39 years,2320.9406716587296,2.521825502609237,3846.043692786562,1525.1030211278326,1648472.8068543593,2006-2012,9
40-44 years,1994.9842834216379,2.2321455281900575,3614.098452794262,1619.114169372624,1481482.9896085567,2006-2012,10
45-49 years,1842.0877607183568,2.112662302126593,3497.6554538069413,1655.5676930885845,1435086.7778034366,2006-2012,11
5-9 years,104.48296851591942,1.3315008332770153,419.66458505384617,315.18161653792674,75003.44374294888,2006-2012,3
50-54 years,1616.085341427546,2.143991790259966,3028.7574909893,1412.6721495617542,1209991.0695640638,2006-2012,12
55-59 years,1324.4724675980333,2.267748905818517,2369.2159980551887,1044.7435304571554,870495.198536708,2006-2012,13
60-64 years,973.3176967208975,2.2554198095825275,1748.6103034582095,775.292606737312,523328.68991617823,2006-2012,14
65-69 years,751.1491588288504,2.0815679323930545,1445.6493712814085,694.5002124525581,298594.5601701682,2006-2012,15
70-74 years,662.7766761784934,1.9011535892579907,1398.252497480191,735.4758213016977,194449.96127747823,2006-2012,16
75-79 years,637.4723166526021,1.699333343413416,1549.015177659525,911.542861006923,142705.47714071066,2006-2012,17
80-84 years,638.0557325684199,1.5398742885555552,1819.915558261455,1181.8598256930352,101572.14311202538,2006-2012,18
< 1 year,612.9556443528745,1.2154342156107927,3458.1659217224224,2845.210277369548,88361.37484713118,2006-2012,1
1-4 years,251.5569021777237,1.3708064835035245,929.961712689438,678.4048105117142,143364.81676022772,2013-2019,2
10-14 years,227.16614776406936,1.6151903441459072,596.4277103450833,369.2615625810139,168159.8203905041,2013-2019,4
15-19 years,2105.181065530047,2.702359962714077,3341.806169291152,1236.6251037611053,1590483.9152954814,2013-2019,5
20-24 years,4215.128417795708,3.2232137867892665,6111.090219959204,1895.9618021634958,3380227.478564436,2013-2019,6
25-29 years,4191.866006042856,3.062200539045195,6224.581024138866,2032.7150180960105,3399091.0429561576,2013-2019,7
30-34 years,3626.4744676935684,2.7544964639362894,5693.434727936792,2066.9602602432237,2791806.98997594,2013-2019,8
35-39 years,3055.8905241325497,2.56630172903839,5006.913412939978,1951.0228888074284,2217540.1763667823,2013-2019,9
40-44 years,2403.0534262417923,2.3452570632832295,4189.3688389829895,1786.315412741197,1678377.1724594743,2013-2019,10
45-49 years,2054.4762716239875,2.172058972481392,3807.3541727029833,1752.8779010789958,1485221.780834786,2013-2019,11
5-9 years,92.87209859070913,1.3259156135537244,377.82959902478996,284.9575004340808,67688.29759693259,2013-2019,3
50-54 years,1858.7080354585933,2.1104574951084127,3532.529900452291,1673.8218649936975,1388948.9099092335,2013-2019,12
55-59 years,1681.0512304160588,2.217003629588376,3062.3546132043552,1381.3033827882964,1244308.7245795173,2013-2019,13
60-64 years,1313.305412301224,2.31570525855937,2311.481412402665,998.176000101441,855337.7964815304,2013-2019,14
