Five-Year Age Groups	Gender	Year	Deaths	Population	Crude Rate
5-9 years	M	2015	1377	10459132	13.1655284587669
5-9 years	M	2016	1377	10429923	13.2023985220217
5-9 years	M	2017	1299	10368141	12.5287647997843
5-9 years	M	2018	1286	10315990	12.4660842051999
5-9 years	M	2019	1290	10322762	12.4966554493846
50-54 years	F	2013	43425	11488260	377.994578813502
50-54 years	F	2014	43805	11493228	381.1374837426
50-54 years	F	2015	43377	11370470	381.488188263106
50-54 years	F	2016	42614	11108872	383.603303737769
50-54 years	F	2017	40863	10880912	375.547564395337
50-54 years	F	2018	38903	10607357	366.754885312147
50-54 years	F	2019	37165	10390540	357.681121481655
50-54 years	M	2013	67466	11070966	609.39578352964
50-54 years	M	2014	67096	11077581	605.691802208442
50-54 years	M	2015	66740	10963847	608.727940110802
50-54 years	M	2016	65317	10730184	608.722087151534
50-54 years	M	2017	63581	10520182	604.371673417817
50-54 years	M	2018	61061	10277207	594.140022673475
50-54 years	M	2019	59489	10086611	589.781840501235
55-59 years	F	2013	58985	10912048	540.549308434127
55-59 years	F	2014	61178	11067461	552.773576523107
55-59 years	F	2015	62417	11210375	556.77887671019
55-59 years	F	2016	63496	11296702	562.075550899723
55-59 years	F	2017	63711	11307436	563.44338362826
55-59 years	F	2018	62702	11271658	556.280185222085
55-59 years	F	2019	61398	11234902	546.493418456165
55-59 years	M	2013	93996	10282382	914.146157962231
55-59 years	M	2014	95992	10443988	919.112507597672
55-59 years	M	2015	97172	10597567	916.927441930775
55-59 years	M	2016	98650	10683406	923.394655225122
55-59 years	M	2017	98387	10700520	919.459988860354
55-59 years	M	2018	98261	10669327	920.967180029256
55-59 years	M	2019	97055	10642489	911.957719665014
60-64 years	F	2013	72817	9447628	770.743725303325
60-64 years	F	2014	75432	9688238	778.593589463843
60-64 years	F	2015	77742	9952697	781.114907848596
60-64 years	F	2016	80565	10167404	792.385155542162
60-64 years	F	2017	82960	10430419	795.365938798815
60-64 years	F	2018	83861	10602115	790.983685802314
60-64 years	F	2019	85614	10714416	799.054283499913
60-64 years	M	2013	112329	8674373	1294.95238445476
60-64 years	M	2014	116206	8877894	1308.93655634996
60-64 years	M	2015	120454	9117180	1321.17606540619
60-64 years	M	2016	123734	9315632	1328.24053161396
60-64 years	M	2017	126948	9557283	1328.28545518637
60-64 years	M	2018	130012	9729536	1336.2610508867
60-64 years	M	2019	130870	9856730	1327.72227706349
65-69 years	F	2013	90185	7695527	1171.91454204501
65-69 years	F	2014	93032	8076160	1151.93359220223
65-69 years	F	2015	97852	8471278	1155.10316153005
65-69 years	F	2016	102266	8883164	1151.23395222693
65-69 years	F	2017	102829	8906513	1154.53713479114
65-69 years	F	2018	102698	9052080	1134.52377796042
65-69 years	F	2019	103474	9255228	1118.00595295978
65-69 years	M	2013	124324	6913190	1798.35936810647
65-69 years	M	2014	129802	7249106	1790.59321245958
65-69 years	M	2015	137630	7596190	1811.82935129321
65-69 years	M	2016	144389	7936919	1819.20717598353
65-69 years	M	2017	145258	7929868	1831.78332854973
65-69 years	M	2018	148548	8034813	1848.80469526795
65-69 years	M	2019	150938	8199773	1840.7582746498
70-74 years	F	2013	106346	5723597	1858.02739081735
70-74 years	F	2014	109861	5973085	1839.26731328953
70-74 years	F	2015	114817	6186891	1855.8109396141
70-74 years	F	2016	117072	6356057	1841.89663497354
70-74 years	F	2017	124850	6899793	1809.4745740923
70-74 years	F	2018	128169	7194151	1781.57228003694
70-74 years	F	2019	131838	7528626	1751.15618706521
70-74 years	M	2013	133574	4884452	2734.67729849735
70-74 years	M	2014	138846	5099939	2722.50315150828
70-74 years	M	2015	144717	5296158	2732.49023159808
70-74 years	M	2016	148353	5454190	2719.98225217677
70-74 years	M	2017	158673	5947272	2667.99635194086
70-74 years	M	2018	164363	6211272	2646.20515733331
70-74 years	M	2019	169309	6499806	2604.83159035824
75-79 years	F	2013	131148	4287534	3058.82122450807
75-79 years	F	2014	132813	4410758	3011.11509631678
75-79 years	F	2015	136686	4512927	3028.766031447
75-79 years	F	2016	138044	4644276	2972.34703536138
75-79 years	F	2017	143993	4842445	2973.55984425223
75-79 years	F	2018	149773	5122392	2923.88790237061
75-79 years	F	2019	152997	5334166	2868.24594510182
75-79 years	M	2013	146166	3390347	4311.24011789944
75-79 years	M	2014	149259	3511566	4250.49678690362
75-79 years	M	2015	153719	3610906	4257.07564805066
75-79 years	M	2016	156851	3723619	4212.32677134798
75-79 years	M	2017	163505	3898816	4193.70906449548
75-79 years	M	2018	171972	4144674	4149.22862449495
75-79 years	M	2019	176496	4318499	4086.97559036137
80-84 years	F	2013	178525	3398468	5253.1022802039
80-84 years	F	2014	175261	3378554	5187.45593529066
80-84 years	F	2015	177034	3386676	5227.36748363292
